espn_id,name,pos,jersey,jersey_source,college_id,college_name,college_logo,college_source,draft_status,draft_year,draft_round,draft_pick,draft_team,draft_team_name,draft_source,included,notes,country,country_name,country_source
351,Juwan Howard,F,,,130,Michigan,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,espn,drafted,1994,1,5,WSB,Washington Bullets,espn,true,,us,United States,espn birthplace
501,Karl Malone,F,,,2348,Louisiana Tech,https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,espn,drafted,1985,1,13,UTAH,Utah Jazz,espn,true,,us,United States,wikipedia birthplace
3136195,Karl-Anthony Towns,C,32,espn,96,Kentucky,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,espn,drafted,2015,1,1,MIN,Minnesota Timberwolves,espn,true,,us,United States,espn birthplace
6450,Kawhi Leonard,F,2,espn,21,San Diego State,https://a.espncdn.com/i/teamlogos/ncaa/500/21.png,espn,drafted,2011,1,15,IND,Indiana Pacers,espn,true,,us,United States,espn birthplace
869,Keith Van Horn,F,,,254,Utah,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,espn,drafted,1997,1,2,PHI,Philadelphia 76ers,espn,true,,us,United States,espn birthplace
4395723,Keldon Johnson,F,3,espn,96,Kentucky,https://a.espncdn.com/i/teamlogos/ncaa/500/96.png,espn,drafted,2019,1,29,SA,San Antonio Spurs,espn,true,,us,United States,espn birthplace
6479,Kemba Walker,G,,,41,UConn,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,espn,drafted,2011,1,9,CHAB,Charlotte Bobcats,espn,true,,us,United States,espn birthplace
269,Kendall Gill,F,,,356,Illinois,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png,espn,drafted,1990,1,5,CHH,Charlotte Hornets,espn,true,,us,United States,wikipedia birthplace
6607,Kendall Marshall,G,,,153,North Carolina,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,espn,drafted,2012,1,13,PHX,Phoenix Suns,espn,true,,us,United States,wikipedia birthplace
15,Kenny Anderson,G,,,59,Georgia Tech,https://a.espncdn.com/i/teamlogos/ncaa/500/59.png,espn,drafted,1991,1,2,NJ,New Jersey Nets,espn,true,,us,United States,espn birthplace
437,Kerry Kittles,G,30,espn,222,Villanova,https://a.espncdn.com/i/teamlogos/ncaa/500/222.png,espn,drafted,1996,1,8,NJ,New Jersey Nets,espn,true,,us,United States,espn birthplace
3202,Kevin Durant,F,7,espn,251,Texas,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,espn,drafted,2007,1,2,SEA,Seattle SuperSonics,espn,true,,us,United States,espn birthplace
261,Kevin Garnett,F,,,,,,,drafted,1995,1,5,MIN,Minnesota Timberwolves,espn,true,,us,United States,wikipedia birthplace
391,Kevin Johnson,G,,,25,California,https://a.espncdn.com/i/teamlogos/ncaa/500/25.png,espn,drafted,1987,1,7,CLE,Cleveland Cavaliers,espn,true,,us,United States,wikipedia birthplace
3449,Kevin Love,F,42,espn,26,UCLA,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,espn,drafted,2008,1,5,MEM,Memphis Grizzlies,espn,true,,us,United States,espn birthplace
2394,Kevin Martin,G,,,2717,Western Carolina,https://a.espncdn.com/i/teamlogos/ncaa/500/2717.png,espn,drafted,2004,1,26,SAC,Sacramento Kings,espn,true,,us,United States,wikipedia birthplace
937,Kevin Willis,C,,,127,Michigan State,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,espn,drafted,1984,1,11,ATL,Atlanta Hawks,espn,true,,us,United States,wikipedia birthplace
6609,Khris Middleton,F,22,espn,245,Texas A&M,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png,espn,drafted,2012,2,39,DET,Detroit Pistons,espn,true,,us,United States,espn birthplace
1981,Kirk Hinrich,G,,,2305,Kansas,https://a.espncdn.com/i/teamlogos/ncaa/500/2305.png,espn,drafted,2003,1,7,CHI,Chicago Bulls,espn,true,,us,United States,wikipedia birthplace
6475,Klay Thompson,G,11,wikipedia,265,Washington State,https://a.espncdn.com/i/teamlogos/ncaa/500/265.png,espn,drafted,2011,1,11,GS,Golden State Warriors,espn,true,,us,United States,espn birthplace
110,Kobe Bryant,F,,,,,,,drafted,1996,1,13,CHH,Charlotte Hornets,espn,true,,us,United States,wikipedia birthplace
2433,Kris Humphries,F,,,135,Minnesota,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png,espn,drafted,2004,1,14,UTAH,Utah Jazz,espn,true,,us,United States,wikipedia birthplace
3102531,Kristaps Porzingis,C,7,espn,,,,,drafted,2015,1,4,NY,New York Knicks,espn,true,,lv,Latvia,espn birthplace
846,Kurt Thomas,F,,,2628,TCU,https://a.espncdn.com/i/teamlogos/ncaa/500/2628.png,espn,drafted,1995,1,10,MIA,Miami Heat,espn,true,,us,United States,wikipedia birthplace
3134907,Kyle Kuzma,F,18,espn,254,Utah,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,espn,drafted,2017,1,27,BKN,Brooklyn Nets,espn,true,,us,United States,espn birthplace
3012,Kyle Lowry,G,,,222,Villanova,https://a.espncdn.com/i/teamlogos/ncaa/500/222.png,espn,drafted,2006,1,24,MEM,Memphis Grizzlies,espn,true,,us,United States,espn birthplace
6442,Kyrie Irving,G,11,espn,150,Duke,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,espn,drafted,2011,1,1,CLE,Cleveland Cavaliers,espn,true,,au,Australia,espn birthplace
617,Lamar Odom,F,,,227,Rhode Island,https://a.espncdn.com/i/teamlogos/ncaa/500/227.png,espn,drafted,1999,1,4,LAC,Los Angeles Clippers,espn,true,,us,United States,wikipedia birthplace
2983,LaMarcus Aldridge,C,,,251,Texas,https://a.espncdn.com/i/teamlogos/ncaa/500/251.png,espn,drafted,2006,1,2,CHI,Chicago Bulls,espn,true,,us,United States,espn birthplace
4432816,LaMelo Ball,G,1,wikipedia,,,,,drafted,2020,1,3,CHH,Charlotte Hornets,espn,true,,us,United States,espn birthplace
229,LaPhonso Ellis,F,,,87,Notre Dame,https://a.espncdn.com/i/teamlogos/ncaa/500/87.png,espn,drafted,1992,1,5,DEN,Denver Nuggets,espn,true,,us,United States,wikipedia birthplace
392,Larry D. Johnson,F,99,espn,110319,Odessa,,espn,drafted,1991,1,1,CHH,Charlotte Hornets,espn,true,,us,United States,espn birthplace
356,Larry Hughes,G,,,139,Saint Louis,https://a.espncdn.com/i/teamlogos/ncaa/500/139.png,espn,drafted,1998,1,8,PHI,Philadelphia 76ers,espn,true,,us,United States,wikipedia birthplace
800,Latrell Sprewell,G,,,333,Alabama,https://a.espncdn.com/i/teamlogos/ncaa/500/333.png,espn,drafted,1992,1,24,GS,Golden State Warriors,espn,true,,us,United States,wikipedia birthplace
4066336,Lauri Markkanen,F,23,espn,12,Arizona,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,espn,drafted,2017,1,7,MIN,Minnesota Timberwolves,espn,true,,fi,Finland,espn birthplace
1966,LeBron James,F,23,espn,,,,,drafted,2003,1,1,CLE,Cleveland Cavaliers,espn,true,,us,United States,espn birthplace
4066421,Lonzo Ball,G,2,espn,26,UCLA,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,espn,drafted,2017,1,2,LAL,Los Angeles Lakers,espn,true,,us,United States,espn birthplace
2799,Lou Williams,G,,,,,,,drafted,2005,2,45,PHI,Philadelphia 76ers,espn,true,,us,United States,espn birthplace
875,Loy Vaught,F,35,espn,130,Michigan,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,espn,drafted,1990,1,13,LAC,Los Angeles Clippers,espn,true,,us,United States,wikipedia birthplace
1781,Luis Scola,F,,,,,,,drafted,2002,2,56,SA,San Antonio Spurs,espn,true,,ar,Argentina,espn birthplace
3945274,Luka Doncic,G,77,espn,,,,,drafted,2018,1,3,ATL,Atlanta Hawks,espn,true,,si,Slovenia,espn birthplace
1985,Luke Ridnour,G,,,2483,Oregon,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,espn,drafted,2003,1,14,SEA,Seattle SuperSonics,espn,true,,us,United States,wikipedia birthplace
2429,Luol Deng,F,9,espn,150,Duke,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,espn,drafted,2004,1,7,PHX,Phoenix Suns,espn,true,,sd,Sudan,espn birthplace
1,Mahmoud Abdul-Rauf,G,,,99,LSU,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,espn,drafted,1990,1,3,DEN,Denver Nuggets,espn,true,,us,United States,espn birthplace
2566769,Malcolm Brogdon,G,,,258,Virginia,https://a.espncdn.com/i/teamlogos/ncaa/500/258.png,espn,drafted,2016,2,36,MIL,Milwaukee Bucks,espn,true,,us,United States,espn birthplace
272,Manu Ginobili,G,,,,,,,drafted,1999,2,57,SA,San Antonio Spurs,espn,true,,ar,Argentina,espn birthplace
3206,Marc Gasol,C,,,,,,,drafted,2007,2,48,LAL,Los Angeles Lakers,espn,true,,es,Spain,espn birthplace
2758,Marcin Gortat,C,,,,,,,drafted,2005,2,57,PHX,Phoenix Suns,espn,true,,pl,Poland,espn birthplace
125,Marcus Camby,C,,,113,Massachusetts,https://a.espncdn.com/i/teamlogos/ncaa/500/113.png,espn,drafted,1996,1,2,TOR,Toronto Raptors,espn,true,,us,United States,espn birthplace
4017,Marcus Thornton,G,,,3252,Kilgore College,,espn,drafted,2009,2,43,MIA,Miami Heat,espn,true,,us,United States,espn birthplace
370,Mark Jackson,G,,,2599,St. John's,https://a.espncdn.com/i/teamlogos/ncaa/500/2599.png,espn,drafted,1987,1,18,NY,New York Knicks,espn,true,,us,United States,wikipedia birthplace
6428,MarShon Brooks,G,,,2507,Providence,https://a.espncdn.com/i/teamlogos/ncaa/500/2507.png,espn,drafted,2011,1,25,BOS,Boston Celtics,espn,true,,us,United States,wikipedia birthplace
837,Maurice Taylor,F,,,130,Michigan,https://a.espncdn.com/i/teamlogos/ncaa/500/130.png,espn,drafted,1997,1,14,LAC,Los Angeles Clippers,espn,true,,us,United States,wikipedia birthplace
1014,Mehmet Okur,C,13,espn,,,,,drafted,2001,2,38,DET,Detroit Pistons,espn,true,,tr,Turkey,espn birthplace
25,Metta World Peace,F,37,espn,2599,St. John's,https://a.espncdn.com/i/teamlogos/ncaa/500/2599.png,espn,drafted,1999,1,16,CHI,Chicago Bulls,espn,true,,,,
3418,Michael Beasley,F,,,2306,Kansas State,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,espn,drafted,2008,1,2,MIA,Miami Heat,espn,true,,us,United States,espn birthplace
203,Michael Dickerson,G,,,12,Arizona,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,espn,drafted,1998,1,14,HOU,Houston Rockets,espn,true,,us,United States,wikipedia birthplace
242,Michael Finley,G,,,275,Wisconsin,https://a.espncdn.com/i/teamlogos/ncaa/500/275.png,espn,drafted,1995,1,21,PHX,Phoenix Suns,espn,true,,us,United States,espn birthplace
1035,Michael Jordan,G,,,153,North Carolina,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,espn,drafted,1984,1,3,CHI,Chicago Bulls,espn,true,,us,United States,espn birthplace
621,Michael Olowokandi,C,,,,Pacific,,wikipedia (no logo),drafted,1998,1,1,LAC,Los Angeles Clippers,espn,true,,ng,Nigeria,espn birthplace
692,Michael Redd,G,,,194,Ohio State,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,espn,drafted,2000,2,43,MIL,Milwaukee Bucks,espn,true,,us,United States,wikipedia birthplace
61,Mike Bibby,G,,,12,Arizona,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,espn,drafted,1998,1,2,VAN,Vancouver Grizzlies,espn,true,,us,United States,espn birthplace
3195,Mike Conley,G,45,espn,194,Ohio State,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,espn,drafted,2007,1,4,MEM,Memphis Grizzlies,espn,true,,us,United States,espn birthplace
1051,Mike James,G,,,2184,Duquesne,https://a.espncdn.com/i/teamlogos/ncaa/500/2184.png,espn,undrafted,1998,,,,,wikipedia infobox,true,"Wikipedia draft team """" not in nba_draft_teams.csv",us,United States,wikipedia birthplace
558,Mike Miller,G,,,57,Florida,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,espn,drafted,2000,1,5,ORL,Orlando Magic,espn,true,,us,United States,wikipedia birthplace
4066383,Miles Bridges,F,22,wikipedia,127,Michigan State,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,espn,drafted,2018,1,12,LAC,Los Angeles Clippers,espn,true,,us,United States,espn birthplace
704,Mitch Richmond,G,,,2306,Kansas State,https://a.espncdn.com/i/teamlogos/ncaa/500/2306.png,espn,drafted,1988,1,5,GS,Golden State Warriors,espn,true,,us,United States,wikipedia birthplace
2751,Monta Ellis,G,,,,,,,drafted,2005,2,40,GS,Golden State Warriors,espn,true,,us,United States,wikipedia birthplace
868,Nick Van Exel,G,,,2132,Cincinnati,https://a.espncdn.com/i/teamlogos/ncaa/500/2132.png,espn,drafted,1993,2,37,LAL,Los Angeles Lakers,espn,true,,us,United States,espn birthplace
3243,Nick Young,G,,,30,USC,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,espn,drafted,2007,1,16,WSH,Washington Wizards,espn,true,,us,United States,wikipedia birthplace
3112335,Nikola Jokic,C,15,espn,,,,,drafted,2014,2,41,DEN,Denver Nuggets,espn,true,,rs,Serbia,espn birthplace
6478,Nikola Vucevic,C,9,espn,30,USC,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,espn,drafted,2011,1,16,PHI,Philadelphia 76ers,espn,true,,us,United States,espn birthplace
2595516,Norman Powell,G,24,wikipedia,26,UCLA,https://a.espncdn.com/i/teamlogos/ncaa/500/26.png,espn,drafted,2015,2,46,MIL,Milwaukee Bucks,espn,true,,us,United States,espn birthplace
3450,O.J. Mayo,G,,,30,USC,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,espn,drafted,2008,1,3,MIN,Minnesota Timberwolves,espn,true,,us,United States,wikipedia birthplace
3414,Omer Asik,C,3,espn,,,,,drafted,2008,2,36,POR,Portland Trail Blazers,espn,true,,tr,Turkey,espn birthplace
4432573,Paolo Banchero,F,5,espn,150,Duke,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,espn,drafted,2022,1,1,ORL,Orlando Magic,espn,true,,us,United States,espn birthplace
3149673,Pascal Siakam,F,43,espn,166,New Mexico State,https://a.espncdn.com/i/teamlogos/ncaa/500/166.png,espn,drafted,2016,1,27,TOR,Toronto Raptors,espn,true,,cm,Cameroon,espn birthplace
237,Patrick Ewing,C,6,espn,46,Georgetown,https://a.espncdn.com/i/teamlogos/ncaa/500/46.png,espn,drafted,1985,1,1,NY,New York Knicks,espn,true,,jm,Jamaica,espn birthplace
996,Pau Gasol,F,,,,,,,drafted,2001,1,3,ATL,Atlanta Hawks,espn,true,,es,Spain,espn birthplace
4251,Paul George,F,13,espn,278,Fresno State,https://a.espncdn.com/i/teamlogos/ncaa/500/278.png,espn,drafted,2010,1,10,IND,Indiana Pacers,espn,true,,us,United States,espn birthplace
3015,Paul Millsap,F,,,2348,Louisiana Tech,https://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,espn,drafted,2006,2,47,UTAH,Utah Jazz,espn,true,,us,United States,espn birthplace
