season,team_id,espn_id,role,passing_yards,espn_order,starter,source
2002,MIA,1161,QB,1045,1,false,leaders
2002,MIA,2658,QB,0,2,false,leaders
2002,MIN,1762,QB,3853,0,false,leaders
2002,MIN,1417,QB,85,1,false,leaders
2002,MIN,1433,QB,13,2,false,leaders
2002,NE,2330,QB,3764,0,false,leaders
2002,NE,3645,QB,3,1,false,leaders
2002,NE,1393,QB,0,2,false,leaders
2002,NE,1798,QB,0,3,false,leaders
2002,NO,1884,QB,3572,0,false,leaders
2002,NO,1693,QB,113,1,false,leaders
2002,NYG,734,QB,4073,0,false,leaders
2002,NYG,2674,QB,30,1,false,leaders
2002,NYJ,2149,QB,3120,0,false,leaders
2002,NYJ,9,QB,499,1,false,leaders
2002,NYJ,458,QB,0,2,false,leaders
2002,NYJ,796,QB,0,3,false,leaders
2002,NYJ,838,QB,0,4,false,leaders
2002,PHI,1753,QB,2289,0,false,leaders
2002,PHI,2704,QB,1011,1,false,leaders
2002,PHI,1683,QB,224,2,false,leaders
2002,PHI,102,QB,57,3,false,leaders
2002,PHI,3619,QB,25,4,false,leaders
2002,PHI,637,QB,0,5,false,leaders
2002,PHI,2573,QB,0,6,false,leaders
2002,PIT,279,QB,2836,0,false,leaders
2002,PIT,736,QB,1155,1,false,leaders
2002,PIT,3590,QB,45,2,false,leaders
2002,SEA,1575,QB,3075,0,false,leaders
2002,SEA,649,QB,1182,1,false,leaders
2002,SF,2026,QB,3344,0,false,leaders
2002,SF,2343,QB,232,1,false,leaders
2002,TB,331,QB,3049,0,false,leaders
2002,TB,789,QB,536,1,false,leaders
2002,TB,1803,QB,80,2,false,leaders
2002,TB,42,QB,0,3,false,leaders
2002,TEN,733,QB,3387,0,false,leaders
2002,TEN,127,QB,24,1,false,leaders
2002,TEN,538,QB,17,2,false,leaders
2002,TEN,516,QB,13,3,false,leaders
2002,WSH,3560,QB,1539,0,false,leaders
2002,WSH,520,QB,1251,1,false,leaders
2002,WSH,1264,QB,719,2,false,leaders
2002,WSH,1210,QB,14,3,false,leaders
2002,WSH,1100,QB,0,4,false,leaders
2002,WSH,2563,QB,0,5,false,leaders
2003,ARI,341,QB,2247,0,false,leaders
2003,ARI,3609,QB,1018,1,false,leaders
2003,ARI,4512,QB,0,2,false,leaders
2003,ATL,2405,QB,1655,0,false,leaders
2003,ATL,2549,QB,585,1,false,leaders
2003,ATL,3686,QB,391,2,false,leaders
2003,ATL,118,QB,0,3,false,leaders
2003,ATL,3546,QB,0,4,false,leaders
2003,ATL,4413,QB,0,5,false,leaders
2003,BAL,4477,QB,1260,0,false,leaders
2003,BAL,2053,QB,1199,1,false,leaders
2003,BAL,2206,QB,58,2,false,leaders
2003,BUF,393,QB,2860,0,false,leaders
2003,BUF,2519,QB,160,1,false,leaders
2003,BUF,530,QB,49,2,false,leaders
2003,BUF,2606,QB,0,3,false,leaders
2003,CAR,1693,QB,3219,0,false,leaders
2003,CAR,59,QB,19,1,false,leaders
2003,CAR,768,QB,0,2,false,leaders
2003,CHI,736,QB,1418,0,false,leaders
2003,CHI,29,QB,1050,1,false,leaders
2003,CHI,4480,QB,437,2,false,leaders
2003,CIN,1383,QB,3591,0,false,leaders
2003,CLE,1162,QB,1797,0,false,leaders
2003,CLE,1752,QB,1319,1,false,leaders
2003,CLE,554,QB,0,2,false,leaders
2003,CLE,1784,QB,0,3,false,leaders
2003,CLE,2163,QB,0,4,false,leaders
2003,CLE,4291,QB,0,5,false,leaders
2003,DAL,2601,QB,3302,0,false,leaders
2003,DAL,2816,QB,37,1,false,leaders
2003,DAL,3790,QB,8,2,false,leaders
2003,DAL,458,QB,0,3,false,leaders
2003,DAL,940,QB,0,4,false,leaders
2003,DEN,1177,QB,2182,0,false,leaders
2003,DEN,975,QB,442,1,false,leaders
2003,DEN,18,QB,389,2,false,leaders
2003,DEN,866,QB,72,3,false,leaders
2003,DEN,2345,QB,41,4,false,leaders
2003,DEN,2387,QB,0,5,false,leaders
2003,DET,3531,QB,2880,0,false,leaders
2003,DET,2698,QB,87,1,false,leaders
2003,DET,1492,QB,21,2,false,leaders
2003,DET,640,QB,0,3,false,leaders
2003,DET,2669,QB,0,4,false,leaders
2003,GB,112,QB,3361,0,false,leaders
2003,GB,525,QB,16,1,false,leaders
2003,HOU,3529,QB,2013,0,false,leaders
2003,HOU,927,QB,693,1,false,leaders
2003,HOU,4546,QB,135,2,false,leaders
2003,HOU,2021,QB,0,3,false,leaders
2003,HOU,3561,QB,0,4,false,leaders
2003,IND,1428,QB,4267,0,false,leaders
2003,IND,1830,QB,22,1,false,leaders
2003,JAX,4465,QB,2819,0,false,leaders
2003,JAX,445,QB,484,1,false,leaders
2003,JAX,3636,QB,86,2,false,leaders
2003,JAX,4590,QB,32,3,false,leaders
2003,JAX,131,QB,0,4,false,leaders
2003,KC,478,QB,4039,0,false,leaders
2003,KC,735,QB,74,1,false,leaders
2003,KC,1306,QB,0,2,false,leaders
2003,LAC,2580,QB,2108,0,false,leaders
2003,LAC,35,QB,1097,1,false,leaders
2003,LAC,2553,QB,21,2,false,leaders
2003,LAC,833,QB,0,3,false,leaders
2003,LAR,2299,QB,3845,0,false,leaders
2003,LAR,1682,QB,365,1,false,leaders
2003,LAR,658,QB,66,2,false,leaders
2003,LAR,2417,QB,11,3,false,leaders
2003,LV,33,QB,1274,0,false,leaders
2003,LV,398,QB,1267,1,false,leaders
2003,LV,2607,QB,324,2,false,leaders
2003,LV,2294,QB,69,3,false,leaders
2003,LV,789,QB,54,4,false,leaders
2003,LV,12,QB,0,5,false,leaders
2003,MIA,712,QB,2138,0,false,leaders
2003,MIA,1493,QB,813,1,false,leaders
2003,MIA,2658,QB,50,2,false,leaders
2003,MIN,1762,QB,3479,0,false,leaders
2003,MIN,622,QB,690,1,false,leaders
2003,MIN,1433,QB,0,2,false,leaders
2003,NE,2330,QB,3620,0,false,leaders
2003,NE,3645,QB,31,1,false,leaders
2003,NE,1398,QB,0,2,false,leaders
2003,NE,1798,QB,0,3,false,leaders
2003,NE,3757,QB,0,4,false,leaders
2003,NO,1884,QB,3546,0,false,leaders
2003,NO,1417,QB,81,1,false,leaders
2003,NO,1042,QB,14,2,false,leaders
2003,NO,619,QB,0,3,false,leaders
2003,NO,2571,QB,0,4,false,leaders
2003,NYG,734,QB,3110,0,false,leaders
2003,NYG,2674,QB,532,1,false,leaders
2003,NYJ,2149,QB,2139,0,false,leaders
2003,NYJ,9,QB,1385,1,false,leaders
2003,NYJ,97,QB,0,2,false,leaders
2003,PHI,1753,QB,3216,0,false,leaders
2003,PHI,1683,QB,32,1,false,leaders
2003,PHI,2573,QB,25,2,false,leaders
2003,PIT,279,QB,3414,0,false,leaders
2003,PIT,1099,QB,81,1,false,leaders
2003,PIT,1490,QB,47,2,false,leaders
2003,PIT,3590,QB,6,3,false,leaders
2003,SEA,1575,QB,3841,0,false,leaders
2003,SEA,649,QB,31,1,false,leaders
2003,SF,2026,QB,2704,0,false,leaders
2003,SF,2343,QB,856,1,false,leaders
2003,SF,2718,QB,6,2,false,leaders
2003,TB,331,QB,3811,0,false,leaders
2003,TB,1803,QB,130,1,false,leaders
2003,TEN,733,QB,3215,0,false,leaders
2003,TEN,2440,QB,545,1,false,leaders
2003,TEN,127,QB,232,2,false,leaders
2003,TEN,538,QB,25,3,false,leaders
2003,TEN,2898,QB,14,4,false,leaders
2003,WSH,3560,QB,2166,0,false,leaders
2003,WSH,2635,QB,1012,1,false,leaders
2003,WSH,2563,QB,46,2,false,leaders
2003,WSH,789,QB,39,3,false,leaders
2003,WSH,4690,QB,7,4,false,leaders
2003,WSH,137,QB,3,5,false,leaders
2004,ARI,3609,QB,2511,0,false,leaders
2004,ARI,1803,QB,502,1,false,leaders
2004,ARI,5727,QB,168,2,false,leaders
2004,ARI,72,QB,21,3,false,leaders
2004,ATL,2549,QB,2313,0,false,leaders
2004,ATL,5615,QB,330,1,false,leaders
2004,ATL,1806,QB,25,2,false,leaders
2004,ATL,118,QB,24,3,false,leaders
2004,BAL,4477,QB,2559,0,false,leaders
2004,BAL,4396,QB,0,1,false,leaders
2004,BUF,393,QB,2932,0,false,leaders
2004,BUF,520,QB,44,1,false,leaders
2004,BUF,5547,QB,32,2,false,leaders
2004,BUF,2797,QB,24,3,false,leaders
2004,CAR,1693,QB,3886,0,false,leaders
2004,CAR,59,QB,3,1,false,leaders
2004,CAR,90,QB,0,2,false,leaders
2004,CAR,2622,QB,0,3,false,leaders
2004,CHI,3790,QB,903,0,false,leaders
2004,CHI,5673,QB,718,1,false,leaders
2004,CHI,4480,QB,607,2,false,leaders
2004,CHI,1639,QB,413,3,false,leaders
2004,CHI,2305,QB,0,4,false,leaders
2004,CIN,4459,QB,2897,0,false,leaders
2004,CIN,1383,QB,623,1,false,leaders
2004,CLE,2026,QB,1731,0,false,leaders
2004,CLE,1162,QB,737,1,false,leaders
2004,CLE,5631,QB,608,2,false,leaders
2004,CLE,4291,QB,0,3,false,leaders
2004,CLE,5733,QB,0,4,false,leaders
2004,DAL,9,QB,3532,0,false,leaders
2004,DAL,4650,QB,78,1,false,leaders
2004,DAL,458,QB,26,2,false,leaders
2004,DAL,924,QB,0,3,false,leaders
2004,DAL,940,QB,0,4,false,leaders
2004,DAL,5096,QB,0,5,false,leaders
2004,DAL,5741,QB,0,6,false,leaders
2004,DEN,1177,QB,4089,0,false,leaders
2004,DET,3531,QB,3047,0,false,leaders
2004,DET,2698,QB,77,1,false,leaders
2004,DET,5532,QB,0,2,false,leaders
2004,GB,112,QB,4088,0,false,leaders
2004,GB,3692,QB,314,1,false,leaders
2004,GB,525,QB,120,2,false,leaders
2004,GB,1432,QB,20,3,false,leaders
2004,GB,4242,QB,8,4,false,leaders
2004,HOU,3529,QB,3531,0,false,leaders
2004,HOU,927,QB,16,1,false,leaders
2004,HOU,3561,QB,0,2,false,leaders
2004,IND,1428,QB,4557,0,false,leaders
2004,IND,5718,QB,175,1,false,leaders
2004,IND,2055,QB,0,2,false,leaders
2004,JAX,4465,QB,2941,0,false,leaders
2004,JAX,3636,QB,374,1,false,leaders
2004,KC,478,QB,4591,0,false,leaders
2004,KC,735,QB,42,1,false,leaders
2004,LAC,2580,QB,3159,0,false,leaders
2004,LAC,35,QB,276,1,false,leaders
2004,LAC,2553,QB,38,2,false,leaders
2004,LAC,5529,QB,33,3,false,leaders
2004,LAC,276,QB,0,4,false,leaders
2004,LAC,4607,QB,0,5,false,leaders
2004,LAR,2299,QB,3964,0,false,leaders
2004,LAR,29,QB,463,1,false,leaders
2004,LAR,531,QB,188,2,false,leaders
2004,LAR,658,QB,0,3,false,leaders
2004,LAR,726,QB,0,4,false,leaders
2004,LV,734,QB,3495,0,false,leaders
2004,LV,33,QB,524,1,false,leaders
2004,LV,3734,QB,0,2,false,leaders
2004,MIA,2704,QB,1893,0,false,leaders
2004,MIA,712,QB,1186,1,false,leaders
2004,MIA,2658,QB,264,2,false,leaders
2004,MIA,1831,QB,48,3,false,leaders
2004,MIN,1762,QB,4717,0,false,leaders
2004,MIN,1433,QB,37,1,false,leaders
2004,MIN,622,QB,0,2,false,leaders
2004,MIN,5644,QB,0,3,false,leaders
2004,NE,2330,QB,3692,0,false,leaders
2004,NE,3645,QB,54,1,false,leaders
2004,NE,1097,QB,4,2,false,leaders
2004,NO,1884,QB,3810,0,false,leaders
2004,NYG,1682,QB,2054,0,false,leaders
2004,NYG,5526,QB,1043,1,false,leaders
2004,NYG,26,QB,0,2,false,leaders
2004,NYJ,2149,QB,2673,0,false,leaders
2004,NYJ,2601,QB,498,1,false,leaders
2004,NYJ,4658,QB,60,2,false,leaders
2004,NYJ,2597,QB,0,3,false,leaders
2004,PHI,1753,QB,3875,0,false,leaders
2004,PHI,1683,QB,207,1,false,leaders
2004,PHI,341,QB,126,2,false,leaders
2004,PHI,526,QB,0,3,false,leaders
2004,PIT,5536,QB,2621,0,false,leaders
2004,PIT,279,QB,329,1,false,leaders
2004,PIT,389,QB,10,2,false,leaders
2004,PIT,3590,QB,10,3,false,leaders
2004,PIT,4621,QB,0,4,false,leaders
2004,SEA,1575,QB,3382,0,false,leaders
2004,SEA,649,QB,333,1,false,leaders
2004,SF,2343,QB,2169,0,false,leaders
2004,SF,4699,QB,1231,1,false,leaders
2004,SF,5742,QB,55,2,false,leaders
2004,TB,1493,QB,2632,0,false,leaders
2004,TB,331,QB,674,1,false,leaders
2004,TB,4555,QB,467,2,false,leaders
2004,TEN,2440,QB,2486,0,false,leaders
2004,TEN,733,QB,1343,1,false,leaders
2004,TEN,2405,QB,68,2,false,leaders
2004,TEN,2898,QB,26,3,false,leaders
2004,TEN,538,QB,10,4,false,leaders
