season,pos,wiki_title,name,team,espn_id,note
2007,WR,T.J. Houshmandzadeh,T.J. Houshmandzadeh,Cincinnati,2753,
2007,WR,Chad Johnson (wide receiver),Chad Johnson,Cincinnati,2584,
2007,TE,Antonio Gates,Antonio Gates,San Diego,5362,
2007,TE,Tony Gonzalez,Tony Gonzalez,Kansas City,1231,
2007,TE,Kellen Winslow II,Kellen Winslow II,Cleveland,5531,
2007,QB,Brett Favre,Brett Favre,Green Bay,112,
2007,QB,Tony Romo,Tony Romo,Dallas,5209,
2007,QB,Matt Hasselbeck,Matt Hasselbeck,Seattle,1575,
2007,QB,Jeff Garcia,Jeff Garcia,Tampa Bay,2026,
2007,RB,Adrian Peterson,Adrian Peterson,Minnesota,10452,
2007,RB,Marion Barber III,Marion Barber III,Dallas,8523,
2007,RB,Brian Westbrook,Brian Westbrook,Philadelphia,3619,
2007,WR,Larry Fitzgerald,Larry Fitzgerald,Arizona,5528,
2007,WR,Terrell Owens,Terrell Owens,Dallas,1056,
2007,WR,Donald Driver,Donald Driver,Green Bay,1966,
2007,WR,Torry Holt,Torry Holt,St. Louis,1757,
2007,TE,Jason Witten,Jason Witten,Dallas,4527,
2007,TE,Chris Cooley (American football),Chris Cooley,Washington,5606,
2008,QB,Peyton Manning,Peyton Manning,Indianapolis,1428,
2008,QB,Brett Favre,Brett Favre,N.Y. Jets,112,
2008,QB,Jay Cutler,Jay Cutler,Denver,9597,
2008,QB,Kerry Collins,Kerry Collins,Tennessee,734,
2008,RB,Thomas Jones (American football),Thomas Jones,N.Y. Jets,2138,
2008,RB,Chris Johnson (running back),Chris Johnson,Tennessee,11258,
2008,RB,Ronnie Brown,Ronnie Brown,Miami,8417,
2008,RB,Marshawn Lynch,Marshawn Lynch,Buffalo,10456,
2008,WR,Andre Johnson,Andre Johnson,Houston,4461,
2008,WR,Brandon Marshall,Brandon Marshall,Denver,9705,
2008,WR,Reggie Wayne,Reggie Wayne,Indianapolis,2578,
2008,WR,Wes Welker,Wes Welker,New England,5941,
2008,TE,Tony Gonzalez,Tony Gonzalez,Kansas City,1231,
2008,TE,Antonio Gates,Antonio Gates,San Diego,5362,
2008,TE,Owen Daniels (American football),Owen Daniels,Houston,9684,
2008,QB,Kurt Warner,Kurt Warner,Arizona,1682,
2008,QB,Drew Brees,Drew Brees,New Orleans,2580,
2008,QB,Eli Manning,Eli Manning,N.Y. Giants,5526,
2008,RB,Adrian Peterson,Adrian Peterson,Minnesota,10452,
2008,RB,Michael Turner (American football),Michael Turner,Atlanta,5679,
2008,RB,Clinton Portis,Clinton Portis,Washington,3579,
2008,WR,Larry Fitzgerald,Larry Fitzgerald,Arizona,5528,
2008,WR,Anquan Boldin,Anquan Boldin,Arizona,4512,
2008,WR,Steve Smith (Carolina Panthers),Steve Smith,Carolina,2622,
2008,WR,Roddy White,Roddy White,Atlanta,8442,
2008,TE,Jason Witten,Jason Witten,Dallas,4527,
2008,TE,Chris Cooley (American football),Chris Cooley,Washington,5606,
2009,QB,Peyton Manning,Peyton Manning,Indianapolis,1428,
2009,QB,Philip Rivers,Philip Rivers,San Diego,5529,
